Statement Author,Statement,Rating
Maxine Lipeles,"""All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.""",true
Bennett Sandlin,"Says 74% of people in Texas are ""crammed into 4% of the land.""",true
Amy Klobuchar,"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",true
Stony Rushing,"Says ""5 out of 10"" GOP candidates don’t live in North Carolina’s 9th Congressional District.",true
Bernie Sanders,"""In my own state of Vermont, from the very first days of our state's history, what our Constitution says is that everybody can vote. That is true. So people in jail can vote.""",true
Joe Manchin,"""I was the only member of the Senate – Republican or Democrat – who has consistently voted against efforts to use the so called ‘nuclear option’ to change the rules of the Senate.""",true
West Virginia Republican Party,"""West Virginia’s exports increased for the second year in a row in 2018, reaching $8.1 billion. Additionally, West Virginia’s export growth rate was 14.2%, nearly double the national average of 7.6%.""",true
E. Gordon Gee,"""Our state has fewer science, technology, engineering and math graduates than any neighboring state.""",true
Dan Patrick,"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""",true
Mac Heller,"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",true
Allen Thomas,"""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""",true
Donald Trump,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",true
Donna Howard,"""There have been zero reported instances of any child born alive after an abortion in Texas.""",true
West Virginia Democratic Party,"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""",true
Shelia Stubbs,"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""",true
Dan Patrick,"""Like every budget passed by the Senate since I have been lieutenant governor, Senate Bill 1 is within the spending limit set by the Texas Constitution.""",true
John Torbett,"Says all North Carolina teachers do not currently get a ""duty free lunch break.""",true
Clif Smart,"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""",true
Daniel Riemer,"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",true
John Bucy III,"""Right now, 1 in 4 Texas women of reproductive age are uninsured, totaling 1.5 million Texas women.""",true
Kirsten Gillibrand,"For Cabinet posts, ""I have the best voting record against Trump nominees of anyone else running for president""",true
Quentin Miller,"Says an ICE detainer request ""is not a valid warrant.""",true
Tammy Baldwin,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",true
Tommie Pierson Jr.,"Says ""zero"" African Americans have presented to the House Budget Committee in 2019.",true
Mike Parson,"""We are always going to need architects, doctors, we’re going to need professionals with four-year degrees. But 65 to 70 percent of the people in Missouri don’t have degrees.""",true
John Nygren,"""Over the last eight years, we’ve shown that even though we’ve cut taxes by $8 billion, revenues continue to grow.""",true
Gavin Newsom,"California has ""the largest death row in the Western Hemisphere, the largest death row in the United States of America — two times the size of the next largest state: Florida.""",true
Elizabeth Warren,"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""",true
Phil Berger,"""Since 2011, the gap in high school graduation rates between African-American students and all students has been cut in half, from 6.4 percent to 3.1 percent.""",true
Mike Parson,"""We maintain this (Missouri highway) system with one of the lowest levels of funding in the country.""",true
Chris Jones,"Virginia House ""Republicans have had more African-Americans on key committees than when the Democrats were in control.""",true
E. Gordon Gee,"West Virginia has ""the nation’s lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""",true
Gavin Newsom,"""More than a million Californians"" do not have ""clean water to bathe in or drink.""",true
Bobby Scott,"""Today’s minimum wage worker making $7.25 an hour has less buying power than a minimum wage worker in the 1960s.""",true
Pete Buttigieg,"""I have more military experience than anybody who’s arrived behind that desk since George H.W. Bush.""",true
Ralph Northam,"On extreme-risk guns laws, ""This idea has passed Republican legislatures in other states and has been signed by Republican governors.""",true
Roy Cooper,"A bill passed by GOP legislators ""makes it harder to prosecute people and groups that violate campaign finance laws.""",true
Nita Lowey,"""The facts are, the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry.""",true
Andrew Cuomo,"New York has passed ""the best paid family leave"" program in the United States of America.",true
Roy Blunt,"The National Defense Authorization Act for fiscal year 2019 ""includes the largest pay raise in nearly 10 years.""",true
Mike Romano,"""Adjusting for inflation, West Virginia’s median household income has not grown in a decade.""",true
Mike Romano,"The poverty rate in West Virginia ""was 19.1 percent, the fourth-highest in the country.""",true
Andrew Cuomo,"""There is nothing that we have done on Amazon that we have not done with hundreds of other projects.""",true
Mike Romano,"""In 2017, West Virginia’s $43,469 median household income was $16,867 below the national average, ranking 50th.""",true
Bloggers,"Says Ann Coulter said, ""I am a settler. I am descended from settlers — not from immigrants.""",true
Richard Ojeda,"At General Motors, CEO Mary Barra ""took home almost 22 MILLION DOLLARS last year alone (295x your company's average employee).""",true
David McKinley,"The United States ""spends more on potato chips than we do on ALL energy R&D.""",true
Crystal Quade,"Missouri ""had the largest amount of millennial Democrats running than any other state in the country.""",true
Jason Smith,"""In fact 7 out of 10 new jobs in America are created by small businesses.""",true
West Virginia Republican Party,"""Middle-class income rose to a record level in 2017 as the strong economy lifted the fortunes of more Americans.""",true
Richard Ojeda,"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War.""",true
Patrick Morrisey,"Says Joe Manchin ""refused to commit to Kavanaugh until AFTER the Senate had the votes.""",true
Bloggers,Trump supporters are heading to the border as the migrant caravan approaches.,true
Nate McMurray,"""Do you know that New York State pays out way more than they ever get back?""",true
West Virginia Republican Party,"""West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with double-digit growth!""",true
Donald Trump,"""Household income among Hispanic Americans has just set a new record high.""",true
Joe Manchin,"West Virginia ""has the highest overdose rate per capita of any state in our nation.""",true
Jon Tester,"""Matt Rosendale supports plans that don’t have to cover (pre-existing conditions).""",true
Marc Molinaro,"On spending growth under Gov. Andrew Cuomo: ""Despite the fact that you continue to suggest that you’ve been able to hold the two percent, you haven’t.""",true
Claire McCaskill,"""My opponent is endorsed by Citizens United.""",true
Jim Justice,"""Thousands of folks are opening West Virginia E-ZPass accounts.""",true
Joe Manchin,"""Black lung cases are at a 25-year high.""",true
Donald Trump,"""The poverty rates for African Americans and Hispanic Americans -- it’s been incredible, they’ve all reached their lowest levels in the history of our country.""",true
VoteVets.org,"Says Rick Scott’s ""hospital company stole millions, defrauding the military’s health care program.""",true
Dan McCready,"""Mark Harris has said he would abolish the Department of Education.""",true
Andrew Cuomo,"""He even supports putting a female inmate in shackles during childbirth.""",true
Beto O'Rourke,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.",true
Democratic Party of Wisconsin,"""Leah Vukmir OPPOSES Buy American legislation.""",true
David McKinley,"In West Virginia, ""personal income tax collections (were) up 14% from 2017.""",true
Ann Wagner,"""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'""",true
Ted Budd,Most of Kathy Manning’s donors are from out-of-state.,true
Tim Kaine,"""The national economy was strong in its largest expansion of private sector jobs before President Trump came into office.""",true
Andrew Cuomo,"""I think I received more votes in the Democratic primary than any governor in history.""",true
Gavin Newsom,"""Close to half of the children"" in California are ""at or near poverty,"" when you consider cost-of-living.",true
Bloggers,"Says Sean Hannity told listeners of his radio show that ""Beto O’Rourke is asking for help in getting undocumented to vote.""",true
Claire McCaskill,"Says a Josh Hawley lawsuit ""would take away important prescription drug coverage for seniors through Medicare and end all of the consumer protections under the ACA.""",true
Jeff Merkley,Says the Trump administration transferred $10 million from FEMA to ICE.,true
Greg Abbott,"Says Texas ""high school graduation rates are at all-time highs.""",true
West Virginia Republican Party,"""For only the second time since 2000, there are more job openings than Americans who are unemployed.""",true
Joe Manchin,"""This year West Virginia produced more AmeriCorps members than any other state.""",true
Nate McMurray,"Says he’s a ""small-town supervisor who has kept a balanced budget, who has increased surpluses, who has led us to the highest credit rating our town has ever had.""",true
Tammy Duckworth,"""If you are a gun store owner and you decide to go out of business … you right now are allowed to convert your entire gun store inventory to ‘personal use’ and once it is a personal use weapon, you can sell it without background checks.""",true
West Virginia Republican Party,"""The American economy is continuing its longest monthly streak of job growth in history, with 3.9 million jobs added since President Trump was elected.""",true
Silvestre Reyes,"Says Beto O’Rourke ""has a criminal record that includes DWI and burglary arrests.""",true
Civitas Institute,"""Apple and Amazon already operate in many states that require levels of voter ID.""",true
Beto O'Rourke,"""I don’t take a dime of PAC money.""",true
Club for Growth,"Says Leah Vukmir ""claimed the open records law didn't apply to her, got sued, lost and cost taxpayers $15,000 in legal fees.""",true
Jeff Sessions,"""One out of every 30 people in the Greater Boston area is an illegal alien.""",true
Roger Williams,"Says he’s ""never voted ‘present’ in the House instead of taking a yes or no position.",true
Mike Pence,"In 2017, ICE ""arrested more than 127,000 illegal immigrants with criminal convictions or facing charges of breaking our nation's’ laws,"" and removed nearly 5,000 gang members.",true
Tim Kaine,"""In December of 2017, the Prince William board of supervisors had a meeting ... (Corey Stewart) skipped that meeting to go campaign in Alabama for Roy Moore to be a U.S. senator … You haven't disavowed Roy Moore's name yet.""",true
Kamala Harris,"""Let’s talk about the facts and where we are today. There are still nearly 2,600 children who are separated from their parents"" due to the Trump administration’s zero-tolerance policy.",true
Roman McAllen,"""The Railroad Commission of Texas has nothing to do with railroads.""",true
Bernie Sanders,"""The three wealthiest people"" own ""more wealth than the bottom half of the American people.""",true
John Kerry,"Since 2014, ""each year, (NATO) nations have been increasing their contributions.""",true
Rachel Maddow,"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",true
The Gateway Pundit,"""Migrant mother and ‘crying girl’ on Time cover never separated.""",true
Scott Walker,"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",true
Troy LaRaviere,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",true
Fareed Zakaria,"""When you tally up their representation in Congress and governorships, the Democrats almost have their lowest representation in about 100 years.""",true
Texas Campaign for the Environment,"Says most of Austin’s biggest parks have recycling though as ""many as 293 out of 300"" Austin city ""parks have no recycling, including almost every neighborhood park.""",true
Richard Cordray,"""Ohio's (payday lending) laws are now the worst in the nation. Things have gotten so bad that it is legal to charge 594 percent interest on loans.""",true
Justin Nelson,"Says ""our indicted Attorney General Ken Paxton is back to being the only statewide official in the country under indictment.""",true
Ben Sasse,"""We’ve been down this road before—blanket protectionism is a big part of why America had a Great Depression.""",true
Dan Patrick,"""It’s against the law in Texas to let any loaded gun get in the hands of a child.""",true
Donald Trump,"""Democrats mistakenly tweet 2014 pictures from Obama’s term showing children from the Border in steel cages.""",true
Donald Trump,"""Senator Cryin’ Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, & then Voted AGAINST it! Now he says I should not have terminated the deal""",true
Tina Smith,"""Taking into account inflation, the federal minimum wage is actually worth less than what it was worth 50 years ago.""",true
Bernie Sanders,"""You know what Amazon paid in federal income taxes last year? Zero.""",true
Jenny Wilson,"Says Mitt Romney is using ""a million of his presidential campaign dollars to finance his Utah Senate race.""",true
James Tedisco,"After the minimum wage for tipped workers was raised in Maine, the state ""reversed that decision due to restaurant employees organizing en masse against the measure.""",true
Kirsten Gillibrand,"""Black and Latino people in NYC are arrested at TEN times the rate of white people for virtually the same rate of marijuana usage.""",true
John Chiang,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana.",true
Jerry Brown,"""Here are the facts: there is no massive wave of migrants pouring into California. Overall immigrant apprehensions on the border last year were as low as they’ve been in nearly 50 years (and 85 percent of the apprehensions occurred outside of California).""",true
Marc Molinaro,"New York has ""among the highest tax burdens of any state in the nation""",true
Evan Jenkins,"West Virginia ""has the highest overdose death rate in the nation.""",true
Cynthia Nixon,"""In one day of fundraising I received more small donor (contributions) than Andrew Cuomo received in seven years.""",true
Gavin Newsom,"""California is 49th out of 50 in the United States in per capita housing units. Only Utah can lay claim to being lowest in per capita production.""",true
Andrew Cuomo,"""Half of the American women who are murdered are killed by their intimate partners.""",true
Beto O'Rourke,"Says ""PTA meetings are now being conducted to help parents tell their kids"" that if a guy with an AR-15 walks into their classroom, ""you are supposed to create as much chaos as you possibly can. They want you to scream and yell and dance around and throw books and just keep moving.""",true
Donald Trump,Says China and Singapore impose the death penalty on drug dealers.,true
Dennis Kucinich,"Says Richard Cordray directed an Ohio commission to ""permit an armed group to have a rally on the statehouse grounds, even taking the extraordinary step of assuming personal responsibility for waiving an insurance requirement in the event of an incident.""",true
Noah Smith,"""Since 1990, production of metals in the U.S. has held roughly constant, but the number of people employed in the industry has fallen steadily.""",true
Dana Wachs,"""We are last in the nation in startups — 50th.""",true
Donald Trump,"The 2018 Academy Awards show was the ""lowest rated Oscars in HISTORY.""",true
Greg Abbott,Says Texas ranks among the nation’s top five states for its high school graduation rate.,true
Ann Teich,Says Stephen F. Austin and James Bowie promoted slavery.,true
Marco Rubio,"""Under N.Y. State ‘Assault Weapon’ ban 1 simple cosmetic change pictured here is difference between legal & banned""",true
Nancy Rotering,"""It’s now constitutional to ban [assault weapons] in Illinois. Yet, the Illinois General Assembly has failed to allow other cities to have that opportunity.""",true
Patrick Morrisey,"""The impending work stoppage is unlawful.""",true
Edward Cox,"About New York state: ""We have the highest debt per capita.""",true
Rebecca Dallet,"Says that as a judge, she has ""presided over more than 10,000 cases.""",true
Brian Kemp,"In Georgia, ""25 percent of rural residents"" are ""without access to high speed internet.""",true
Glenn Grothman,"""The past president (Barack Obama) brought Al Sharpton into the White House something like 80 times.""",true
Chris Kennedy,"""There was no requirement to put in affordable housing.""",true
USA Trainnews,"""Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union.""",true
Andrea Stewart-Cousins,"""New York consistently ranks as one of the worst voting turnout states in the nation.""",true
Brian Kavanagh,"""New York has the third lowest rate of gun-caused death in America.""",true
Robert Mujica,"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",true
Donald Trump,"""Small business confidence is at an all-time high.""",true
Ronald Brownstein,"""They found 60 votes in the Senate in 2006 and 2013"" for immigration legislation, and ""each time the House Republican majority refused to take it up.""",true
Jerry Brown,"California’s prisons budget in 1970 ""was about 3 percent of the general fund. Now, it’s 8.9 percent, about $12 billion.""",true
Nancy Pelosi,"Reauthorizing the Children’s Health Insurance Program ""for six years saves $1 billion"" and doing it for 10 years saves $6 billion.",true
Jon Husted,"""When we say ‘one vote matters,’ it’s not just a saying – it has proven true 141 times in #Ohio over the last five years.""",true
Jeff Flake,"Says Donald Trump's use of the term ""fake news"" to undermine journalism ""seems (to have) inspired dictators and authoritarians.""",true
Bill de Blasio,"""The graduation rate in New York City has increased by 50 percent in 13 years""",true
Norm Eisen,"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",true
Donald Trump,"The Dow Jones Industrial Average ""jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history.""",true
Daniel Biss,These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,true
Wisconsin Department of Transportation,"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",true
Jeff Flake,"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith.""",true
Adam Putnam,"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",true
Michael Kearns,"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",true
Eric Holcomb,"""We’re growing union jobs faster than Illinois.""",true
Nancy McFarlane,"""We are spending more on affordable housing than we're spending on Dix Park right now.""",true
New Leadership PAC,"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",true
Delaine Eastin,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",true
Mark Pocan,"What Republicans call the ""death tax"" is the estate tax ""on the ultra wealthy"" which, in 2016, was paid by only ""two out of every 1,000 people.""",true
Roy Blunt,"""Our tax code has nearly doubled since 1985.""",true
Joyce Mauk,"""One in 10 babies born in this country is born in Texas.""",true
Bruce Rauner,"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""",true
Chris Abele,"90 percent of Americans ""support universal background checks"" for gun purchases.",true
Eric Schneiderman,"Some states hit hardest by opioid deaths ""have more opioid prescriptions than residents.""",true
Rick Baker,"While Mayor Rick Kriseman said he would dip into reserves this year because of Hurricane Irma, he ""went into the emergency reserves before Irma ever hit.""",true
Gwen Graham,"Florida’s coastal and stormwater infrastructure are ""two of the most critical areas during a storm, and received D-plus and D ratings, respectively, by the American Society of Civil Engineers in 2016.""",true
Kevin Nicholson,"""Ronald Reagan was a verified Democrat until his mid-50s.""",true
Nancy Pelosi,"""Seventy-six percent of the American people support us passing the DREAM Act … with citizenship and legalization as part of it all. … More than 60 percent of Republicans support that.""",true
Roy Blunt,"""Nearly 2/3 of rural Missourians don’t have access to broadband. That needs to change.""",true
Eric Schneiderman,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",true
Louise Slaughter,"Rescinding the Deferred Action for Childhood Arrivals program ""will harm our economy.""",true
Adam Schiff,"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",true
Betty Jean Grant,"""I'm the only candidate who has not accepted money from Carl Paladino nor LPCiminelli; two of the biggest developers in the city of Buffalo.""",true
Kamala Harris,"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",true
Donald Trump,"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",true
Illinois Policy Institute,The new tax will make soda sold in Chicago among the most expensive in the country.,true
Ashley Smith,"Says transgender residents make up ""about 1-in-300 people, we're all over the place, we're your friends and your neighbors.""",true
Gavin Newsom,"The Inland Empire is ""the second fastest growing region"" for jobs in California.",true
Eric Schneiderman,"""We have been able to cut New York’s uninsured rate in half since 2013 from 10 percent to 5 percent of our population.""",true
John Faso,"""We now have about one-third of New York’s population on Medicaid.""",true
Ian Bremmer,Says President Richard Nixon held meetings with heads of state without an American interpreter.,true
Joe Straus,"""One"" Texas school ""district alone -- Austin ISD -- is expected to lose more than $530 million in local property taxes to Robin Hood this year.""",true
Stacey Evans,"""I helped win one of the biggest private lawsuits against Medicare fraud in history. The government declined to pursue the case, so my firm did, and we recovered $324 million for taxpayers.""",true
Scott Walker,"Tax cuts approved and those proposed in his state budget ""will exceed $8 billion by the time the budget is done.""",true
Samantha Bee,"The New York State Senate ""passed legislation allowing minors to race snowmobiles, get their own hunting licenses, and not be employed gathering or picking rags, cigar stumps, or collecting bones.""",true
Mark Pocan,"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",true
Donald Trump,"Says Jon Ossoff ""doesn't even live in (his) district.""",true
Ivanka Trump,"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",true
Derrick Crowe,"Says each of the past three years ""has been the hottest on record.""",true
Richard Burr,"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",true
Rafael Anchia,"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",true
Ann McLane Kuster,"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",true
David Lewis,"""The waiting list for Pre-K is over in the House budget.""",true
Ann Hudspeth,"""Texas leads the country in animal deaths by sodium cyanide M-44s.""",true
Debbie Wasserman Schultz,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",true
John Kelly,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",true
Claire McCaskill,"""Due to the recent downturn in steel production, more than 13,600 Americans have been laid off and the steel industry is facing billions in losses.""",true
Charles Schumer,"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",true
Donald Trump,"The federal tax code includes ""deductions for birds flying across America.""",true
Glenn Grothman,"""Planned Parenthood is the biggest abortion provider in the country.""",true
Thomas Croci,"In some cases, a sex offender ""who appears on the New York State Sex Offender Registry"" would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July",true
Donald Trump,"""General Flynn got his clearance from the Obama administration.""",true
Rex Tillerson,"""China account(s) for 90 percent of North Korean trade.""",true
Scott Peters,"The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",true
Rana Foroohar,"""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",true
Ron Kind,"""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",true
Donald Trump,"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",true
Allen Andrews,"""Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.""",true
Edward Markey,"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""",true
Sheriff David Clarke for U.S. Senate,"Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter ""is a terrorist movement, a hate group and calls it, Black LIES Matter.""",true
Sara Stevenson,"Says a Texas Senate committee considering ""private school voucher"" legislation randomly called people to testify regardless of when the people submitted requests to testify.",true
Joseph Crowley,"""More than 20 million people are at risk of dying from starvation within 6 months in 4 nations.""",true
Wendell Young,"House Bill 991 ""could lead to the opening of as many as 2,000 new liquor stores.""",true
Erin Forrest,"""75 percent of the town boards in Wisconsin have no women on them at all.""",true
Randolph Bracy,"""There are no federal or state laws that say prosecutors must seek death sentences. And the United States Supreme Court has banned all state laws that make executions mandatory for murders.""",true
Greta Van Susteren,"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed.",true
Ted Yoho,"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war.""",true
Chris Collins,"In New York state, ""you cannot charge an older person even one dollar more than a younger person"" for health insurance.",true
Jerry Brown,"""2.1 million jobs have been created in the last six or seven years"" in California",true
Carolyn Maloney,"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""",true
Habitat for Humanity of Broward,"""South Florida ranks No. 1 in the gap between wages and housing.""",true
Ron Johnson,"The GOP’s Obamacare replacement would reduce subsidies that help lower-income people buy health insurance, but also ""expand the entitlement"" by giving subsidies to higher-income people ""that Obamacare never helped.""",true
Claire McCaskill,"Small businesses ""create two out of every three American jobs.""",true
Arnold Schwarzenegger,"""The average margin of victory in the House of Representatives was 37%"" for Democrats and Republicans in the 2016 election.",true
The Coalition for Public Schools,"""Texas legislators have filed voucher proposals in every legislative session since 1995, but all of them have failed to become law.""",true
Donald Trump,"""One-third of the counties — think of it, one-third — only have one insurer left"" on the Affordable Care Act exchanges.",true
Donna Howard,"Says condoms ""used to be tax-exempt here in Texas.""",true
Rick Scott,"""Florida is now the only state in the nation to tax commercial leases.""",true
Nancy Pelosi,"Says 70 percent of benefits in Donald Trump’s proposal for child care ""go to the people making over $100,000 a year.""",true
Raj Shah,"""Most U.S. foreign assistance ... is given to U.S. companies and nonprofits in the form of contracts and grants.""",true
Dan Forest,"Says HB2 has hurt North Carolina’s economy by ""one-tenth of 1 percent of our annual GDP.""",true
Andrew Cuomo,"""I’ve given the religious schools in my budget more money than ever before in history.""",true
Sean Ryan,"""Just last year, over 5,000 refugees came to New York state, and 94 percent settled outside of New York City.""",true
Gavin Newsom,"During his campaign for president, Donald Trump ""committed to honoring states' rights when it comes to marijuana legalization.""",true
Richard Durbin,"""You can almost pinpoint half of the gun violence deaths to two or three specific sections in the city. They are just areas of devastation, economically and otherwise.""",true
Bono,"""For every extra year a girl goes to school, her income goes up 12 percent.""",true
Bruce Rauner,"The status quo led the General Assembly to reduce pension payments four straight years starting in 2005, costing billions of dollars as the delay in contributions essentially borrowed from pension funds at a very high interest rate.",true
Andrew Cuomo,"New York state subsidizes private colleges ""probably more than any other state except maybe one.""",true
Byron Brown,"Graduation rates in Buffalo’s school district, which were ""around 48 percent are now up to 64 percent"" since Say Yes Buffalo launched.",true
Sherrod Brown,"Says ExxonMobil ""fought to kill"" a rule requiring oil and mining companies to disclose payments made to foreign governments.",true
Mitch McConnell,"""Not a single Democrat opposed Neil Gorsuch's confirmation in 2006.""",true
Keith Ellison,"""About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.""",true
Rob Portman,"""All of our taxpayers are paying roughly 22% of the U.N. budget.""",true
Jerry Brown,"Twenty-seven percent of Californians, almost 11 million, ""were born in a foreign land.""",true
Edward Cox,"""The exodus of citizens from New York State has been growing.""",true
Chad Mayes,"California has ""the highest poverty rate in the nation"" when considering the U.S. Census Bureau’s Supplemental Poverty Measure.",true
Jerry Brown,"The uninsured rate in California reached ""a historic low of 7.4 percent in 2016.""",true
Mike Fortner,"""House Bill 6627 also requires the applicant to attest to their eligibility to vote, as is required by the National Voter Registration Act and used by all other states that have (automatic voter registration).""",true
Luke Messer,"""By funding the authorization that’s already happened a decade ago (in the Secure Fence Act of 2006), we could start the process of meeting Mr. Trump’s campaign pledge to secure the border.""",true
Tammy Baldwin,"The federal government is prohibited ""from negotiating lower prescription drug prices for our senior citizens.""",true
Scott Walker,"Wisconsin property taxes, as a percentage of personal income, ""are the lowest that they've been since the end of World War II.""",true
Robert Astorino,"""I have never once raised the county tax levy -- not for seven straight years.""",true
Andrew Cuomo,"""More college graduates are living at home than in decades.""",true
Andrew Cuomo,"In New York, ""Average college debt - $30,000 per student.""",true
Donald Trump,"""Jackie Evancho’s album sales have skyrocketed after announcing her inauguration performance.""",true
Jeff Brandes,"""Unlike California, we in Florida welcome driverless cars - no permit required.""",true
David Menchetti,"""The causation standard in Indiana is exactly the same as it is in Illinois.""",true
John Podesta,"""On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.""",true
Kirk Watson,"""In Austin, Texas, the average homeowner is paying about $1,300 to $1,400 just for recapture,"" meaning funds spent in non-Austin school districts.",true
Russ Feingold,"Social Security ""was basically invented"" at the University of Wisconsin-Madison; ""that's where Franklin Roosevelt got the idea.""",true
Newt Gingrich,"""We adopted the modern Social Security system at a time when the average person died before they were old enough to get Social Security.""",true
Gwen Moore,"Says Donald Trump ""thinks stop-and-frisk is fine.""",true
Annie's List,"Even ""though men comprise 49% of the population, they hold 80% of the lawmaking power in the Legislature (144 of 181 seats).""",true
Andrew Cuomo,"""We spend less than 2 percent more every year. That is the lowest increase in spending since they have been keeping numbers.""",true
Bloggers,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,true
"Virginia ""Jennie Lou"" Leeder","Texas spends ""more per day to house an inmate than we do on a student.""",true
Rand Paul,"Says John Bolton supported the Iraq War and said last year that ""I still think the decision to overthrow Saddam was correct.""",true
Rudy Giuliani,"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",true
Various media reports 2,Newt Gingrich has been a proponent of selecting a president by popular vote instead of the Electoral College.,true
Lamar Smith,"""I was the first member of Congress to contribute to Donald Trump.""",true
John Kerry,"""Surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid.""",true
Tim Kaine,"""Spanish was the first European language spoken in this country.""",true
Hillary Clinton,"Under Donald Trump's tax plan, ""51 percent of single parents would see their taxes go up.""",true
Deborah Ross,"Says Richard Burr ""was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave.""",true
U.S. Chamber of Commerce,"Says Russ Feingold said that with Obamacare, ""we could keep our doctors and our plans, it was rated as the Lie of the Year.""",true
Hillary Clinton,"Says Donald Trump ""wants to undo marriage equality.""",true
Donald Trump,"""Wisconsin is one of several states where you can change your early ballot if you think you've made a mistake.""",true
